player_name,salary
Stephen Curry,"$45,780,966"
John Wall,"$44,310,840"
James Harden,"$44,310,840"
Russell Westbrook,"$44,211,146"
Kevin Durant,"$42,018,900"
LeBron James,"$41,180,544"
Paul George,"$39,344,970"
Kawhi Leonard,"$39,344,900"
Giannis Antetokounmpo,"$39,344,900"
Damian Lillard,"$39,344,900"
Klay Thompson,"$37,980,720"
Jimmy Butler,"$36,016,200"
Tobias Harris,"$35,995,950"
Khris Middleton,"$35,500,000"
Anthony Davis,"$35,361,360"
Kyrie Irving,"$35,053,700"
Kemba Walker,"$34,967,442"
Rudy Gobert,"$34,844,000"
Bradley Beal,"$33,724,200"
Ben Simmons,"$33,003,936"
Pascal Siakam,"$33,003,936"
Jrue Holiday,"$32,431,333"
Blake Griffin,"$32,405,817"
Karl-Anthony Towns,"$31,650,600"
Devin Booker,"$31,650,600"
Kristaps Porzingis,"$31,650,600"
Nikola Jokic,"$31,579,390"
Andrew Wiggins,"$31,579,390"
Joel Embiid,"$31,579,390"
Kevin Love,"$31,258,256"
CJ McCollum,"$30,864,198"
Chris Paul,"$30,800,000"
D'Angelo Russell,"$30,013,500"
Gordon Hayward,"$29,925,000"
Jamal Murray,"$29,467,800"
Brandon Ingram,"$29,467,800"
Jayson Tatum,"$28,103,500"
Bam Adebayo,"$28,103,500"
De'Aaron Fox,"$28,103,500"
Donovan Mitchell,"$28,103,500"
Al Horford,"$27,000,000"
Kyle Lowry,"$26,984,128"
Jaylen Brown,"$26,758,928"
DeMar DeRozan,"$26,000,000"
Draymond Green,"$24,026,712"
Nikola Vucevic,"$24,000,000"
Buddy Hield,"$23,073,234"
John Collins,"$23,000,000"
Julius Randle,"$21,780,000"
Malcolm Brogdon,"$21,700,000"
Tim Hardaway Jr,"$21,306,816"
Mike Conley,"$21,000,000"
Gary Harris,"$20,932,143"
Danilo Gallinari,"$20,475,000"
Harrison Barnes,"$20,284,091"
Jerami Grant,"$20,002,500"
Jarrett Allen,"$20,000,000"
Fred VanVleet,"$19,675,926"
Zach LaVine,"$19,500,000"
Goran Dragic,"$19,348,907"
Bojan Bogdanovic,"$18,700,000"
Lonzo Ball,"$18,604,651"
Clint Capela,"$18,603,448"
Domantas Sabonis,"$18,500,000"
Eric Gordon,"$18,218,818"
Eric Bledsoe,"$18,125,000"
Bogdan Bogdanovic,"$18,000,000"
Myles Turner,"$18,000,000"
Terry Rozier,"$17,905,263"
Ricky Rubio,"$17,800,000"
Caris LeVert,"$17,500,000"
Jonathan Isaac,"$17,400,000"
Joe Harris,"$17,357,143"
Spencer Dinwiddie,"$17,142,857"
Evan Fournier,"$17,142,857"
Steven Adams,"$17,073,171"
Markelle Fultz,"$16,500,000"
Aaron Gordon,"$16,409,091"
OG Anunoby,"$16,071,429"
Gary Trent Jr,"$16,000,000"
Davis Bertans,"$16,000,000"
Lauri Markkanen,"$15,690,909"
Derrick White,"$15,678,571"
Duncan Robinson,"$15,650,000"
Marcus Morris,"$15,627,907"
Will Barton,"$15,625,000"
Norman Powell,"$15,517,242"
Dejounte Murray,"$15,428,880"
Malik Beasley,"$14,491,964"
Marcus Smart,"$14,339,285"
Patrick Beverley,"$14,320,987"
Thaddeus Young,"$14,190,000"
Jonas Valanciunas,"$14,000,000"
Doug McDermott,"$13,750,000"
Christian Wood,"$13,666,667"
Derrick Rose,"$13,445,120"
Brook Lopez,"$13,302,325"
Kentavious Caldwell-Pope,"$13,038,862"
Joe Ingles,"$13,036,364"
Kyle Kuzma,"$13,000,000"
Taurean Prince,"$13,000,000"
Robert Covington,"$12,975,471"
TJ Warren,"$12,940,000"
Luke Kennard,"$12,727,273"
Deandre Ayton,"$12,632,950"
Terrence Ross,"$12,500,000"
Jordan Clarkson,"$12,420,000"
Dillon Brooks,"$12,200,000"
Kelly Olynyk,"$12,195,122"
Nicolas Batum,"$12,026,998"
Josh Hart,"$12,000,000"
Kelly Oubre,"$12,000,000"
Jusuf Nurkic,"$12,000,000"
Josh Richardson,"$11,615,328"
Marvin Bagley,"$11,312,114"
DeAndre Jordan,"$11,109,327"
Dwight Powell,"$11,080,125"
Devonte Graham,"$11,000,000"
Zion Williamson,"$10,733,400"
Larry Nance Jr,"$10,690,909"
Jeremy Lamb,"$10,500,000"
Reggie Jackson,"$10,384,500"
Richaun Holmes,"$10,384,500"
Al-Farouq Aminu,"$10,335,621"
Anthony Edwards,"$10,245,480"
Luka Doncic,"$10,174,391"
Cade Cunningham,"$10,050,120"
Danny Green,"$10,000,000"
Tomas Satoransky,"$10,000,000"
Tristan Thompson,"$9,946,611"
Kyle Anderson,"$9,937,150"
Derrick Favors,"$9,720,900"
Jae Crowder,"$9,720,900"
Montrezl Harrell,"$9,720,900"
Derrick Jones,"$9,720,900"
Serge Ibaka,"$9,720,900"
Ja Morant,"$9,603,360"
Reggie Bullock,"$9,536,000"
Alec Burks,"$9,536,000"
Talen Horton-Tucker,"$9,500,000"
Mason Plumlee,"$9,248,333"
Jaren Jackson Jr,"$9,180,560"
James Wiseman,"$9,166,800"
Jalen Green,"$8,992,080"
Maxi Kleber,"$8,825,000"
De'Anthony Melton,"$8,805,976"
Nerlens Noel,"$8,800,000"
Royce O'Neale,"$8,800,000"
Jakob Poeltl,"$8,750,000"
Thomas Bryant,"$8,666,667"
RJ Barrett,"$8,623,920"
Alex Caruso,"$8,600,000"
Delon Wright,"$8,526,316"
Dario Saric,"$8,510,000"
Monte Morris,"$8,449,074"
Tyus Jones,"$8,376,286"
Trae Young,"$8,326,471"
Daniel Theis,"$8,280,351"
LaMelo Ball,"$8,231,760"
Seth Curry,"$8,207,518"
JaMychal Green,"$8,200,000"
Cedi Osman,"$8,133,334"
Evan Mobley,"$8,075,160"
De'Andre Hunter,"$7,775,400"
DJ Augustin,"$7,622,467"
Mo Bamba,"$7,568,743"
Ivica Zubac,"$7,518,518"
TJ McConnell,"$7,500,000"
Rajon Rondo,"$7,500,000"
Patrick Williams,"$7,422,000"
Cory Joseph,"$7,310,000"
Scottie Barnes,"$7,280,400"
Darius Garland,"$7,040,880"
Chris Boucher,"$7,020,000"
PJ Tucker,"$7,000,000"
Zach Collins,"$7,000,000"
Wendell Carter,"$6,920,027"
Juan Hernangomez,"$6,907,815"
Isaac Okoro,"$6,720,720"
Jalen Suggs,"$6,592,920"
Cameron Payne,"$6,500,000"
Joakim Noah,"$6,431,666"
Jarrett Culver,"$6,395,160"
Khem Birch,"$6,350,000"
Collin Sexton,"$6,349,671"
Onyeka Okongwu,"$6,104,280"
Justin Holiday,"$6,006,420"
Josh Giddey,"$5,988,000"
Patrick Mills,"$5,890,000"
Rudy Gay,"$5,890,000"
Dennis Schroeder,"$5,890,000"
